Sample ID	Array ID	Cell Line/Patient ID	
GSM354025	GSM354025	NCI_U133A_1M	
GSM354026	GSM354026	NCI_U133A_2M	
GSM354027	GSM354027	NCI_U133A_3M	
GSM354028	GSM354028	NCI_U133A_4M	
GSM354029	GSM354029	NCI_U133A_5M	
GSM354030	GSM354030	NCI_U133A_6M	
GSM354031	GSM354031	NCI_U133A_7M	
GSM354032	GSM354032	NCI_U133A_8M	
GSM354033	GSM354033	NCI_U133A_9M	
GSM354034	GSM354034	YX_U133_2_100874T	
GSM354035	GSM354035	YX_U133_2_102206T	
GSM354036	GSM354036	YX_U133_2_102385T	
GSM354037	GSM354037	YX_U133_2_102466T	
GSM354038	GSM354038	YX_U133_2_102520T	
GSM354039	GSM354039	YX_U133_2_103756T	
GSM354040	GSM354040	YX_U133_2_104449T	
GSM354041	GSM354041	YX_U133_2_104640T	
GSM354042	GSM354042	YX_U133_2_104882T	
GSM354043	GSM354043	YX_U133_2_105400T	
GSM354044	GSM354044	YX_U133_2_105786T	
GSM354045	GSM354045	YX_U133_2_106017T	
GSM354046	GSM354046	YX_U133_2_111014T	
GSM354047	GSM354047	YX_U133_2_112056T	
GSM354048	GSM354048	YX_U133_2_112761T	
GSM354049	GSM354049	YX_U133_2_14595T	
GSM354050	GSM354050	YX_U133_2_14770T	
GSM354051	GSM354051	YX_U133_2_14786T	
GSM354052	GSM354052	YX_U133_2_15922T	
GSM352095	GSM352095	5381T	
GSM352097	GSM352097	102962T	
GSM352098	GSM352098	104406T	
GSM352100	GSM352100	105079T	
GSM352101	GSM352101	107502T	
GSM352103	GSM352103	107696T	
GSM352105	GSM352105	107961T	
GSM352107	GSM352107	109506T	
GSM352109	GSM352109	109594T	
GSM352110	GSM352110	109714T	
GSM352111	GSM352111	110032T	
GSM352113	GSM352113	110312T	
GSM352114	GSM352114	110783T	
GSM352115	GSM352115	111276T	
GSM352117	GSM352117	112282T	
GSM352119	GSM352119	112397T	
GSM352120	GSM352120	112403T	
GSM352121	GSM352121	113471T	
GSM352122	GSM352122	113542T	
GSM352123	GSM352123	114112T	
GSM352124	GSM352124	115463T	
GSM352125	GSM352125	116610T	
GSM352126	GSM352126	11887T	
GSM352127	GSM352127	11993T	
GSM352128	GSM352128	12370T	
GSM352129	GSM352129	13685T	
GSM352130	GSM352130	14568T	
GSM352131	GSM352131	14891T	
GSM352132	GSM352132	15112T	
GSM1618415	GSM1618415	patient 1_K235	
GSM1618416	GSM1618416	patient 1_K235	
GSM1618417	GSM1618417	patient 2_K282	
GSM1618418	GSM1618418	patient 2_K282	
GSM1618419	GSM1618419	patient 3_K285	
GSM1618420	GSM1618420	patient 3_K285	
GSM1618421	GSM1618421	patient 4_K296	
GSM1618422	GSM1618422	patient 4_K296	
GSM1618423	GSM1618423	patient 5_K319	
GSM1618424	GSM1618424	patient 5_K319	
GSM1618425	GSM1618425	patient 6_K417	
GSM1618426	GSM1618426	patient 6_K417	
GSM1618427	GSM1618427	patient 7_K458	
GSM1618428	GSM1618428	patient 7_K458	
GSM1618429	GSM1618429	patient 8_K470	
GSM1618430	GSM1618430	patient 8_K470	
GSM1618431	GSM1618431	patient 9_K594	
GSM1618432	GSM1618432	patient 9_K594	
GSM1618433	GSM1618433	patient 10_K765	
GSM1618434	GSM1618434	patient 10_K765	
GSM1618435	GSM1618435	patient 11_K770	
GSM1618436	GSM1618436	patient 11_K770	
GSM1618437	GSM1618437	patient 12_K779	
GSM1618438	GSM1618438	patient 12_K779	
GSM1618439	GSM1618439	patient 13_K851	
GSM1618440	GSM1618440	patient 13_K851	
GSM461711	GSM461711	Ovary01	
GSM461712	GSM461712	Renal01	
GSM461713	GSM461713	Ovary02	
GSM461714	GSM461714	Colon01	
GSM461715	GSM461715	Ovary03	
GSM461716	GSM461716	Colon02	
GSM461717	GSM461717	Ovary04	
GSM461718	GSM461718	Ovary05	
GSM461719	GSM461719	Colon03	
GSM461720	GSM461720	Renal02	
GSM461721	GSM461721	Renal03	
GSM461722	GSM461722	Ovary06	
GSM461723	GSM461723	Renal04	
GSM461724	GSM461724	Colon04	
GSM461725	GSM461725	Lung01	
GSM461726	GSM461726	GEJunction01	
GSM461727	GSM461727	Pancreas01	
GSM461728	GSM461728	Ovary07	
GSM461729	GSM461729	Colon05	
GSM461730	GSM461730	Rectal01	
GSM461731	GSM461731	Colon06	
GSM461732	GSM461732	Renal05	
GSM461733	GSM461733	Breast01	
GSM461734	GSM461734	Breast02	
GSM461735	GSM461735	Breast03	
GSM461736	GSM461736	Breast04	
GSM461737	GSM461737	Ovary08	
GSM461738	GSM461738	Ovary09	
GSM461739	GSM461739	Ovary10	
GSM461740	GSM461740	Ovary11	
GSM461741	GSM461741	Ovary12	
GSM461742	GSM461742	Ovary13	
GSM461743	GSM461743	Ovary14	
GSM461744	GSM461744	Colon07	
GSM461745	GSM461745	Colon08	
GSM461746	GSM461746	Colon09	
GSM461747	GSM461747	Colon10	
GSM461748	GSM461748	Colon11	
GSM461749	GSM461749	Other01	
GSM461750	GSM461750	Breast05	
GSM461751	GSM461751	Other02	
GSM461752	GSM461752	Breast06	
GSM461753	GSM461753	Breast07	
GSM461754	GSM461754	Breast08	
GSM461755	GSM461755	Breast09	
GSM461756	GSM461756	Breast10	
GSM461757	GSM461757	GEJunction02	
GSM461758	GSM461758	Colon12	
GSM461759	GSM461759	Colon13	
GSM461760	GSM461760	Colon14	
GSM461761	GSM461761	Colon15	
GSM461762	GSM461762	Colon16	
GSM461763	GSM461763	Colon17	
GSM461764	GSM461764	Colon18	
GSM461765	GSM461765	Colon19	
GSM461766	GSM461766	Breast11	
GSM461767	GSM461767	Colon20	
GSM461768	GSM461768	Colon21	
GSM461769	GSM461769	Colon22	
GSM461770	GSM461770	Colon23	
GSM461771	GSM461771	Colon24	
GSM461772	GSM461772	Colon25	
GSM461773	GSM461773	Colon26	
GSM461774	GSM461774	Breast12	
GSM461775	GSM461775	Colon27	
GSM461776	GSM461776	Colon28	
GSM461777	GSM461777	Colon29	
GSM461778	GSM461778	Colon30	
GSM461779	GSM461779	Colon31	
GSM461780	GSM461780	Colon32	
GSM461781	GSM461781	Colon33	
GSM461782	GSM461782	Colon34	
GSM461783	GSM461783	Breast13	
GSM461784	GSM461784	Renal06	
GSM461785	GSM461785	Colon35	
GSM461786	GSM461786	Lung02	
GSM461787	GSM461787	Esophogeal01	
GSM461788	GSM461788	Lung03	
GSM461789	GSM461789	Colon36	
GSM461790	GSM461790	Lung04	
GSM461791	GSM461791	Breast14	
GSM461792	GSM461792	Lung05	
GSM461793	GSM461793	Lung06	
GSM461794	GSM461794	Lung07	
GSM461795	GSM461795	Lung08	
GSM461796	GSM461796	Lung09	
GSM461797	GSM461797	Lung10	
GSM461798	GSM461798	Prostate01	
GSM461799	GSM461799	Prostate02	
GSM461800	GSM461800	Prostate03	
GSM461801	GSM461801	Prostate04	
GSM461802	GSM461802	Prostate05	
GSM461803	GSM461803	Prostate06	
GSM461804	GSM461804	Prostate07	
GSM461805	GSM461805	Prostate08	
GSM461806	GSM461806	Prostate09	
GSM74875	GSM74875	Benign Prostate tissue N1	
GSM74876	GSM74876	Benign prostate tissue N2	
GSM74877	GSM74877	Benign prostate tissue N3	
GSM74878	GSM74878	Benign prostate tissue N4	
GSM74879	GSM74879	Benign prostate tissue NX1	
GSM74880	GSM74880	Benign prostate tissue NX2	
GSM74881	GSM74881	Clinically localized primary prostate cancer P1	
GSM74882	GSM74882	Clinically localized primary prostate cancer P2	
GSM74883	GSM74883	Clinically localized primary prostate cancer P3	
GSM74884	GSM74884	Clinically localized primary prostate cancer P4	
GSM74885	GSM74885	Clinically localized primary prostate cancer P5	
GSM74886	GSM74886	Clinically localized primary prostate cancer tissue pool PX1	
GSM74887	GSM74887	Clinically localized primary prostate cancer tissue pool PX2	
GSM74888	GSM74888	Metastatic prostate cancer W1	
GSM74889	GSM74889	Metastatic prostate cancer W2	
GSM74890	GSM74890	Metastatic prostate cancer W3	
GSM74891	GSM74891	Metastatic prostate cancer W4	
GSM74892	GSM74892	Metastatic prostate cancer tissue pool WX1	
GSM74893	GSM74893	Metastatic prostate cancer tissue pool WX2	
GSM38051	GSM38051	Breast - 13491	
GSM38052	GSM38052	Corpus Uteri - 2045	
GSM38053	GSM38053	Prostate - 2047	
GSM38054	GSM38054	Breast - 2051	
GSM38055	GSM38055	Colon - 2471	
GSM38056	GSM38056	Spleen - 2475	
GSM38057	GSM38057	Breast - 2477	
GSM38058	GSM38058	Lung - 2479	
GSM38059	GSM38059	Breast - 2481	
GSM38060	GSM38060	Lung - 2483	
GSM38061	GSM38061	Colon - 2485	
GSM38062	GSM38062	Breast - 3377	
GSM38063	GSM38063	Breast - 8170	
GSM38064	GSM38064	Ovary - 8172	
GSM38065	GSM38065	Omentum - 8174	
GSM38066	GSM38066	Abdominal wall mass - 8176	
GSM38067	GSM38067	Uterus - 8180	
GSM38068	GSM38068	Small Bowel - 8182	
GSM38069	GSM38069	Myometrium - 8184	
GSM38070	GSM38070	Omentum - 8186	
GSM38071	GSM38071	Peritoneum - 8188	
GSM38072	GSM38072	Adrenal gland - 8190	
GSM38073	GSM38073	Kidney - 8192	
GSM38074	GSM38074	Colon - 8194	
GSM38075	GSM38075	Colon - 8196	
GSM38076	GSM38076	Lymph Nodes - 8198	
GSM38077	GSM38077	Colon - 8200	
GSM38078	GSM38078	Colon - 8202	
GSM38079	GSM38079	Prostate - 8206	
GSM38080	GSM38080	Breast - 8208	
GSM38081	GSM38081	Breast - 8210	
GSM38082	GSM38082	Breast - 8212	
GSM38083	GSM38083	Breast - 8214	
GSM38084	GSM38084	Uterus - 8216	
GSM38085	GSM38085	Axillary Lymph Nodes - 8218	
GSM38086	GSM38086	Breast - 8220	
GSM38087	GSM38087	Fallopian tube - 8224	
GSM38088	GSM38088	Ovary - 8226	
GSM38089	GSM38089	Colon - 8228	
GSM38090	GSM38090	Breast - 8230	
GSM38091	GSM38091	Breast - 8232	
GSM38092	GSM38092	Breast - 8234	
GSM38093	GSM38093	Omentum - 8236	
GSM38094	GSM38094	Breast - 8238	
GSM38095	GSM38095	Omentum - 8240	
GSM38096	GSM38096	Rectum - 8242	
GSM38097	GSM38097	Skin - 8244	
GSM38098	GSM38098	Colon - 8246	
GSM38099	GSM38099	Breast - 8248	
GSM38100	GSM38100	Lung - 8250	
GSM38101	GSM38101	Stomach - 8252	
GSM38102	GSM38102	Breast - 8254	
GSM38103	GSM38103	Lung - 8256	
GSM38104	GSM38104	Lung - 8258	
GSM38105	GSM38105	Colon - 8260	
GSM38106	GSM38106	Breast - 8264	
GSM38107	GSM38107	Colon - 8266	
GSM38108	GSM38108	Liver - 8268	
GSM38109	GSM38109	Breast - 8270	
GSM38110	GSM38110	Breast - 8272	
GSM46814	GSM46814	Omentum - 1003	
GSM46815	GSM46815	Omentum - 1006	
GSM46816	GSM46816	Breast - 1017	
GSM46817	GSM46817	Lung - 1020	
GSM46818	GSM46818	Omentum - 1022	
GSM46819	GSM46819	Rectum - 1043	
GSM46820	GSM46820	Breast - 1048	
GSM46821	GSM46821	Ovary - 1057	
GSM46822	GSM46822	Abdominal Mass - 1060	
GSM46823	GSM46823	Colon - 1293	
GSM46824	GSM46824	Lung - 1299	
GSM46825	GSM46825	Kidney - 1304	
GSM46826	GSM46826	Kidney - 1306	
GSM46827	GSM46827	Breast - 1307	
GSM46828	GSM46828	Liver or Omentum - 1308	
GSM46829	GSM46829	Pelvic Lymph Node - 1310	
GSM46830	GSM46830	Ovary - 1311	
GSM46831	GSM46831	Ovary - 1313	
GSM46832	GSM46832	Colon - 1315	
GSM46833	GSM46833	Lung - 1316	
GSM46834	GSM46834	Omentum - 1319	
GSM46835	GSM46835	Abdominal wall mass - 1321	
GSM46836	GSM46836	Breast - 1322	
GSM46837	GSM46837	Prostate - 1324	
GSM46838	GSM46838	R adnexa or metastatic transverse colon nodule - 1350	
GSM46839	GSM46839	Ovary - 1351	
GSM46840	GSM46840	Ovary - 1353	
GSM46841	GSM46841	Colon - 1354	
GSM46842	GSM46842	Paracolic gutter - 1355	
GSM46843	GSM46843	Lung - 1502	
GSM46844	GSM46844	Lung - 1503	
GSM46845	GSM46845	Colon - 2049	
GSM46846	GSM46846	Breast - 21808	
GSM46847	GSM46847	Kidney - 22198	
GSM46848	GSM46848	Liver - 22202	
GSM46849	GSM46849	Breast - 22204	
GSM46850	GSM46850	Lung - 22208	
GSM46851	GSM46851	Ileum - 22212	
GSM46852	GSM46852	Breast - 22214	
GSM46853	GSM46853	Ovary - 22218	
GSM46854	GSM46854	Uterus - 22220	
