ProbeID	Ptr	Name	Description
AFFX-BioB-5_at	133	---	 ---
AFFX-BioB-M_at	324	---	 ---
AFFX-BioB-3_at	514	---	 ---
AFFX-BioC-5_at	704	---	 ---
AFFX-BioC-3_at	895	---	 ---
AFFX-BioDn-5_at	1086	---	 ---
AFFX-BioDn-3_at	1275	---	 ---
AFFX-CreX-5_at	1467	---	 ---
AFFX-CreX-3_at	1658	---	 ---
AFFX-DapX-5_at	1850	---	 ---
AFFX-DapX-M_at	2041	---	 ---
AFFX-DapX-3_at	2232	---	 ---
AFFX-LysX-5_at	2424	---	 ---
AFFX-LysX-M_at	2616	---	 ---
AFFX-LysX-3_at	2807	---	 ---
AFFX-PheX-5_at	2997	---	 ---
AFFX-PheX-M_at	3189	---	 ---
AFFX-PheX-3_at	3378	---	 ---
AFFX-ThrX-5_at	3568	---	 ---
AFFX-ThrX-M_at	3757	---	 ---
AFFX-ThrX-3_at	3949	---	 ---
AFFX-TrpnX-5_at	4140	---	 ---
AFFX-TrpnX-M_at	4336	---	 ---
AFFX-TrpnX-3_at	4544	---	 ---
AFFX-r2-Ec-bioB-5_at	4744	---	 ---
AFFX-r2-Ec-bioB-M_at	4942	---	 ---
AFFX-r2-Ec-bioB-3_at	5134	---	 ---
AFFX-r2-Ec-bioC-5_at	5330	---	 ---
AFFX-r2-Ec-bioC-3_at	5527	---	 ---
AFFX-r2-Ec-bioD-5_at	5725	---	 ---
AFFX-r2-Ec-bioD-3_at	5922	---	 ---
AFFX-r2-P1-cre-5_at	6120	---	 ---
AFFX-r2-P1-cre-3_at	6315	---	 ---
AFFX-r2-Bs-dap-5_at	6510	---	 ---
AFFX-r2-Bs-dap-M_at	6707	---	 ---
AFFX-r2-Bs-dap-3_at	6904	---	 ---
AFFX-r2-Bs-lys-5_at	7099	---	 ---
AFFX-r2-Bs-lys-M_at	7295	---	 ---
AFFX-r2-Bs-lys-3_at	7490	---	 ---
AFFX-r2-Bs-phe-5_at	7685	---	 ---
AFFX-r2-Bs-phe-M_at	7882	---	 ---
AFFX-r2-Bs-phe-3_at	8076	---	 ---
AFFX-r2-Bs-thr-3_s_at	8271	---	 ---
AFFX-r2-Bs-thr-M_s_at	8468	---	 ---
AFFX-r2-Bs-thr-5_s_at	8666	---	 ---
AFFX-HUMISGF3A/M97935_5_at	8865	STAT1	 signal transducer and activator of transcription 1, 91kDa
AFFX-HUMISGF3A/M97935_MA_at	9125	STAT1	 signal transducer and activator of transcription 1, 91kDa
AFFX-HUMISGF3A/M97935_MB_at	9384	STAT1	 signal transducer and activator of transcription 1, 91kDa
AFFX-HUMISGF3A/M97935_3_at	9644	STAT1	 signal transducer and activator of transcription 1, 91kDa
AFFX-HUMRGE/M10098_5_at	9902	---	 ---
AFFX-HUMRGE/M10098_M_at	10102	---	 ---
AFFX-HUMRGE/M10098_3_at	10302	---	 ---
AFFX-HUMGAPDH/M33197_5_at	10502	GAPDH	 glyceraldehyde-3-phosphate dehydrogenase
AFFX-HUMGAPDH/M33197_M_at	10742	GAPDH	 glyceraldehyde-3-phosphate dehydrogenase
AFFX-HUMGAPDH/M33197_3_at	10983	GAPDH	 glyceraldehyde-3-phosphate dehydrogenase
AFFX-HSAC07/X00351_5_at	11223	ACTB	 actin, beta
AFFX-HSAC07/X00351_M_at	11433	ACTB	 actin, beta
AFFX-HSAC07/X00351_3_at	11642	ACTB	 actin, beta
AFFX-M27830_5_at	11851	---	 ---
AFFX-M27830_M_at	12044	---	 ---
AFFX-M27830_3_at	12237	---	 ---
AFFX-hum_alu_at	12430	---	 ---
1007_s_at	12623	DDR1 /// MIR4640	 discoidin domain receptor tyrosine kinase 1 /// microRNA 4640
1053_at	12881	RFC2	 replication factor C (activator 1) 2, 40kDa
117_at	13103	HSPA6	 heat shock 70kDa protein 6 (HSP70B')
121_at	13322	PAX8	 paired box 8
1255_g_at	13515	GUCA1A	 guanylate cyclase activator 1A (retina)
1294_at	13744	MIR5193 /// UBA7	 microRNA 5193 /// ubiquitin-like modifier activating enzyme 7
1316_at	13997	THRA	 thyroid hormone receptor, alpha
1320_at	14210	PTPN21	 protein tyrosine phosphatase, non-receptor type 21
1405_i_at	14446	CCL5	 chemokine (C-C motif) ligand 5
1431_at	14661	CYP2E1	 cytochrome P450, family 2, subfamily E, polypeptide 1
1438_at	14899	EPHB3	 EPH receptor B3
1487_at	15096	ESRRA	 estrogen-related receptor alpha
1494_f_at	15310	CYP2A6	 cytochrome P450, family 2, subfamily A, polypeptide 6
1598_g_at	15550	GAS6	 growth arrest-specific 6
160020_at	15758	MMP14	 matrix metallopeptidase 14 (membrane-inserted)
1729_at	15987	TRADD	 TNFRSF1A-associated via death domain
1773_at	16206	CHURC1-FNTB /// FNTB	 CHURC1-FNTB readthrough /// farnesyltransferase, CAAX box, beta
177_at	16468	PLD1	 phospholipase D1, phosphatidylcholine-specific
179_at	16694	DTX2P1-UPK3BP1-PMS2P11	 DTX2P1-UPK3BP1-PMS2P11 readthrough transcribed pseudogene
1861_at	16951	BAD	 BCL2-associated agonist of cell death
200000_s_at	17168	PRPF8	 pre-mRNA processing factor 8
200001_at	17384	CAPNS1	 calpain, small subunit 1
200002_at	17595	RPL35	 ribosomal protein L35
200003_s_at	17801	MIR6805 /// RPL28	 microRNA 6805 /// ribosomal protein L28
200004_at	18039	EIF4G2	 eukaryotic translation initiation factor 4 gamma, 2
200005_at	18275	EIF3D	 eukaryotic translation initiation factor 3, subunit D
200006_at	18512	PARK7	 parkinson protein 7
200007_at	18716	SRP14	 signal recognition particle 14kDa (homologous Alu RNA binding protein)
200008_s_at	18968	GDI2	 GDP dissociation inhibitor 2
200009_at	19182	GDI2	 GDP dissociation inhibitor 2
200010_at	19392	RPL11	 ribosomal protein L11
200011_s_at	19599	ARF3	 ADP-ribosylation factor 3
